what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338086332875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338086335125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1338086335156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1338086335156
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338086336046
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1338086372750
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1338086374781
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338086386031
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338086402078
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338086409171
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338086409281
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338086410562
error,log,,,"WinHttp.GetProxyForUrl for pac failed with error 'The proxy auto-configuration script could not be downloaded\r\n' #12167.",1338086412031
error,log,,,"WinHttp.GetProxyForUrl for pac failed with error 'The proxy auto-configuration script could not be downloaded\r\n' #12167.",1338086412031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338086454453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087023234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087031859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087156171
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1338087156218
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338087158015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087160046
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338087163406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087164390
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1338087164421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338087164421
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338087164468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087172671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087233437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087241875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087312734
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338087312765
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338087315031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087317062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087333812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1338087336281
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338087340921
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338087341109
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338087347078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1338087352078
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338087358343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087361546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087366062
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1338087367234
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338087395546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087401546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087407375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087414828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087445812
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1338087445843
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1338087450531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087450546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087452734
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1338087485015
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338087488343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087494890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087527046
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1338087527078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087530468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087532343
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338087540921
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338087546703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1338087546718
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1338087549796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087557703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087559578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087565187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087622140
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1338087622171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087622187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087623343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087654718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087667812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087669843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087672765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1338087685781
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338087687796
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338087687890
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338087688468
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338087688687
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338087688781
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1338087693671
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1338087720750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087737687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087739062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087750515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087752156
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1338087752156
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338087755171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087763453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087772500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087772562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087772703
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1338087781140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1338087781343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1338087787968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087798656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087802625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087802671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087804281
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338087806468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087808984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087816406
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338087816421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087836625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338087838046
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338087840515
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1338087846015
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338087846218
